Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
R_pin_5,-1.87350135405495E-16,1.45716771982052E-16,-3.64291929955129E-17,0,0,0,0.00969526908824346,3.09307788698156E-06,5.29395592033938E-23,1.92733082724855E-22,3.09307788698156E-06,6.89868630869225E-22,3.02977159007607E-08,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_5.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_5.STL,,217-2586-007 Rev1_94-5,tf_R_pin_5,Axis5,R_pin_joint_5,fixed,0.0053926,0.0055408,0,0,0,0,R_roller_guide_5,0,0,0,,,,,,,,,,,,
R_roller_9,-1.38777878078145E-17,0,-0.000228119247515458,0,0,0,0.0102614605521239,1.02352821766348E-06,-5.29395592033938E-23,2.40874994375442E-21,1.02352821766348E-06,-1.58818677610181E-22,7.96937025998479E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_9.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_9.STL,,217-2586-004 Rev1_76-9;217-2586-003 Rev2_67-9,tf_R_roller_9,Axis5,R_roller_joint_9,continuous,0,0,-0.01562,0,0,0,R_pin_5,0,0,1,,,,,,,,,,,,
R_roller_10,-2.08166817117217E-17,-6.93889390390723E-18,0.000228119247515448,0,0,0,0.0102614605521239,1.02352821766348E-06,0,2.14405214773745E-21,1.02352821766348E-06,-1.58818677610181E-22,7.96937025998479E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_10.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_10.STL,,217-2586-004 Rev1_76-10;217-2586-003 Rev2_67-10,tf_R_roller_10,Axis5,R_roller_joint_10,continuous,0,0,0.01562,0,0,0,R_pin_5,0,0,1,,,,,,,,,,,,
R_roller_guide_6,0.00342186181927157,0.0148935525173834,9.08997759511282E-08,0,0,0,0.00548592548678132,4.75781915102191E-07,-2.99475121972135E-08,1.08781021799699E-08,3.52300984370672E-07,-2.50146577009551E-09,5.92619648790578E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_6.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_6.STL,,217-2586-002 Rev2_26-6;217-2586-005 Rev2_49-12;217-2586-005 Rev2_49-11,tf_R_roller_guide_6,Axis6,R_roller_guide_joint_6,fixed,-0.021531,-0.066595,0.0080608,-0.22029,-0.76032,0,R_wheel,0,0,0,,,,,,,,,,,,
R_pin_6,-1.49186218934005E-16,6.93889390390723E-18,-9.54097911787244E-18,0,0,0,0.00969526908824347,3.09307788698156E-06,2.64697796016969E-23,6.40237794116043E-22,3.09307788698156E-06,1.05196694401431E-21,3.02977159007601E-08,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_6.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_6.STL,,217-2586-007 Rev1_94-6,tf_R_pin_6,Axis6,R_pin_joint_6,fixed,0.0017313,0.0075354,0,0,0,0,R_roller_guide_6,0,0,0,,,,,,,,,,,,
R_roller_11,-1.61329283265843E-16,1.38777878078145E-17,-0.000228119247514445,0,0,0,0.0102614605521242,1.02352821766558E-06,-3.30872245021211E-23,2.64697796016969E-22,1.02352821766558E-06,-5.3535129244432E-21,7.96937026002156E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_11.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_11.STL,,217-2586-004 Rev1_76-11;217-2586-003 Rev2_67-11,tf_R_roller_11,Axis6,R_roller_joint_11,continuous,0,0,-0.01562,0,0,0,R_pin_6,0,0,1,,,,,,,,,,,,
R_roller_12,1.31838984174237E-16,-4.85722573273506E-17,0.000228119247515226,0,0,0,0.0102614605521241,1.02352821766454E-06,-1.45583787809333E-22,6.35274710440725E-22,1.02352821766454E-06,4.24839962607235E-21,7.96937026000539E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_12.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_12.STL,,217-2586-004 Rev1_76-12;217-2586-003 Rev2_67-12,tf_R_roller_12,Axis6,R_roller_joint_12,continuous,0,0,0.01562,0,0,-2.9367,R_pin_6,0,0,1,,,,,,,,,,,,
R_roller_guide_7,-0.00342180218811786,0.0148935708484475,9.99611997551386E-08,0,0,0,0.00548592520159961,4.75778964640027E-07,2.99534735678517E-08,1.08793561547236E-08,3.52303702515227E-07,2.49721398647168E-09,5.92619795292707E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_7.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_7.STL,,217-2586-002 Rev2_26-7;217-2586-005 Rev2_49-14;217-2586-005 Rev2_49-13,tf_R_roller_guide_7,Axis7,R_roller_guide_joint_7,fixed,0.021724,-0.066532,0.0080608,0.22029,-0.76032,0,R_wheel,0,0,0,,,,,,,,,,,,
R_pin_7,5.20417042793042E-17,1.52655665885959E-16,1.04083408558608E-16,0,0,0,0.00969526908824346,3.09307788698156E-06,1.32348898008484E-22,6.48509600241574E-22,3.09307788698156E-06,6.23280591558706E-22,3.02977159007612E-08,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_7.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_7.STL,,217-2586-007 Rev1_94-7,tf_R_pin_7,Axis7,R_pin_joint_7,fixed,-0.0017313,0.0075354,0,0,0,0,R_roller_guide_7,0,0,0,,,,,,,,,,,,
R_roller_13,6.59194920871187E-17,1.38777878078145E-16,-0.000228119247514492,0,0,0,0.0102614605521241,1.02352821766474E-06,5.9557004103818E-23,1.85288457211878E-22,1.02352821766474E-06,4.81088244260841E-21,7.96937026000539E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_13.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_13.STL,,217-2586-004 Rev1_76-13;217-2586-003 Rev2_67-13,tf_R_roller_13,Axis7,R_roller__joint_13,continuous,0,0,-0.01562,0,0,0,R_pin_7,0,0,1,,,,,,,,,,,,
